Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
17	3077.752	660.2392	3462.7107	1760.6951	4050.6575	112.805176	4294.7	3924.0674	1000.0	1000.0	85000	195.4851	66.02869	286.08243	-40.060795	195.48497	66.02784	285.2215	-38.414265	195.67378	65.61501	287.87335	-36.295506	1.4169346	3.432016	27.316936	-13.5601	-196.53912	5.0163345	5.0555573	2.6685464	221.18831729888916
18	3552.5125	224.19048	3954.4382	3285.526	4008.073	65.61219	4121.756	3911.4243	1000.0	1000.0	90000	203.37549	67.37675	293.3352	-44.329235	203.37535	67.37536	294.3376	-43.439594	203.5475	66.94208	291.58194	-39.589222	1.5232931	3.4692895	29.091133	-14.139015	-204.42924	5.395289	5.407178	2.8644843	234.4221670627594
19	3316.5593	720.53784	3783.2563	1885.1587	4319.355	56.76245	4387.3267	4213.589	1000.0	1000.0	95000	209.99883	69.08845	302.84906	-45.38273	209.9991	69.08727	301.90942	-47.087006	210.15573	68.633385	300.37512	-44.474487	1.6295402	3.5082803	30.790401	-15.70047	-211.0524	5.444082	5.42153	2.8938034	247.71970105171204
20	3541.3945	351.9655	3846.0728	2898.328	4022.8464	77.80607	4127.587	3875.5803	1000.0	1000.0	100000	216.43571	69.83999	307.83582	-51.30555	216.4359	69.83912	306.9193	-52.05272	216.5409	69.38662	304.09186	-48.89897	1.6314133	3.4949198	29.302513	-13.921201	-217.44455	5.750876	5.7021713	3.027177	261.0226285457611
21	3713.181	109.592964	3833.1428	3511.369	3965.5903	87.37457	4089.7454	3848.327	1000.0	1000.0	105000	222.48032	69.92222	310.19217	-54.086838	222.4802	69.921585	311.58322	-50.758034	222.56393	69.433334	311.40207	-46.928207	1.6646513	3.4868705	31.214273	-12.356379	-223.47295	5.707043	5.6598134	2.8928523	274.3641448020935
22	3738.243	69.60809	3865.2456	3665.1008	4038.0515	142.87567	4244.8813	3837.5605	1000.0	1000.0	110000	228.36101	69.5828	315.68314	-53.638332	228.361	69.58187	315.2326	-50.75878	228.43242	69.07851	314.98773	-48.060326	1.7980944	3.542789	30.293056	-13.776157	-229.3547	5.738311	5.6800385	3.0883815	287.56741642951965
23	3313.6968	905.6828	3988.4712	1533.3031	4131.922	74.786156	4254.603	3980.1086	1000.0	1000.0	115000	232.9082	70.093185	321.65906	-52.989418	232.90839	70.092964	322.05945	-53.812824	232.95303	69.590416	319.52335	-49.2985	1.842663	3.5451534	32.40892	-15.734385	-233.87276	5.715731	5.649747	3.0632415	300.838506937027
24	3825.7532	129.45216	4063.4587	3713.5793	4177.843	67.415886	4298.643	4098.626	1000.0	1000.0	120000	237.87378	69.437096	320.68222	-49.987015	237.87343	69.43757	321.54468	-48.868984	237.88367	68.90167	319.96576	-50.998627	1.8643903	3.5348024	30.847433	-13.146318	-238.80493	5.7382913	5.686423	3.014837	314.2188620567322
25	3842.493	149.59032	4057.3965	3590.9253	4185.0615	101.8103	4417.2847	4012.59	1000.0	1000.0	125000	242.45418	68.68732	325.7868	-49.90825	242.45421	68.686386	326.8994	-50.10456	242.44601	68.1495	325.91037	-46.429935	1.923265	3.5587387	28.284958	-13.196059	-243.3532	5.598439	5.5302486	2.984549	327.53109526634216
26	3854.8608	248.44345	4303.736	3565.3298	4362.446	121.89931	4516.5884	4049.603	1000.0	1000.0	130000	246.82411	68.189026	331.08228	-48.597095	246.8239	68.18915	331.83743	-50.013187	246.80342	67.620895	329.35983	-46.14076	1.970059	3.5633726	30.367363	-12.66744	-247.71547	5.6805644	5.6067123	3.0302064	340.89634680747986
27	3781.3198	204.62381	4043.6125	3517.6643	4453.623	83.187675	4596.817	4306.866	1000.0	1000.0	135000	250.76811	67.43488	335.14517	-43.4478	250.76784	67.4346	336.18918	-47.278397	250.7131	66.889114	331.1801	-40.02314	1.9917128	3.5907626	31.553198	-15.764248	-251.61612	5.697428	5.6321244	3.0217235	354.2755148410797
28	3945.952	91.058105	4060.756	3820.054	4412.1553	83.04355	4544.7163	4216.8843	1000.0	1000.0	140000	254.29767	67.52117	335.99524	-43.569794	254.29774	67.520775	335.70288	-50.058613	254.23228	66.97872	335.02112	-49.799995	2.0175023	3.5790915	30.988525	-15.006303	-255.1345	5.898567	5.804505	3.108645	367.75754404067993
29	3881.2124	90.80683	4014.8455	3781.855	4486.112	84.453705	4696.125	4394.796	1000.0	1000.0	145000	258.12653	66.97783	339.29315	-43.37146	258.1264	66.97788	338.484	-49.66423	258.0446	66.428185	338.22073	-48.746513	1.9968195	3.5817919	28.726467	-14.4754305	-258.9409	5.632699	5.5725102	3.0119958	381.21918988227844
30	3939.2305	71.76032	4018.4941	3812.6194	4445.9023	116.615746	4598.197	4229.3584	1000.0	1000.0	150000	261.22217	66.483246	339.903	-42.56385	261.22192	66.48321	340.96445	-47.381634	261.12125	65.91985	338.1148	-41.214523	2.0230134	3.5802698	28.404583	-14.230583	-262.01205	5.731185	5.6422906	3.0243595	394.755872964859
31	3936.341	168.25024	4143.724	3676.3965	4679.3975	68.741585	4797.344	4541.5386	1000.0	1000.0	155000	264.13443	65.87724	340.335	-41.91394	264.13434	65.87746	340.15576	-44.703537	264.02277	65.29855	341.2034	-43.168896	2.0290556	3.5747302	34.97688	-12.963577	-264.91293	5.712969	5.630667	3.0014977	408.2103328704834
